date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2024-12-24,1.0,0.9999999986236673,1.000000001359289,46303774477
2024-12-25,1.0,0.9999999984621952,1.0000000014592556,46303774477
2024-12-26,1.0,0.9999999981112826,1.0000000019654354,46303774477
2024-12-27,1.0,0.9999999975498011,1.0000000025800357,46303774477
2024-12-28,1.0,0.9999999963321836,1.0000000038103618,46303774477
2024-12-29,1.0,0.9999999952215375,1.0000000057188234,46303774477
2024-12-30,1.0,0.9999999931953972,1.0000000076080682,46303774477
2024-12-31,1.0,0.9999999911538198,1.0000000103595563,46303774477
2025-01-01,1.0,0.9999999892425523,1.00000001252815,46303774477
2025-01-02,1.0,0.9999999868747772,1.000000015300302,46303774477
2025-01-03,1.0,0.9999999839582977,1.0000000183854911,46303774477
2025-01-04,1.0,0.999999981437291,1.0000000202677886,46303774477
2025-01-05,1.0,0.9999999794920591,1.0000000228581833,46303774477
2025-01-06,1.0,0.9999999768443809,1.000000026321409,46303774477
2025-01-07,1.0,0.9999999732867022,1.0000000287471549,46303774477
2025-01-08,1.0,0.9999999704886159,1.000000032781575,46303774477
2025-01-09,1.0,0.9999999680568675,1.000000035695082,46303774477
2025-01-10,1.0,0.9999999644372982,1.0000000393381576,46303774477
2025-01-11,1.0,0.9999999601448614,1.0000000421061088,46303774477
2025-01-12,1.0,0.9999999570082304,1.0000000463872107,46303774477
2025-01-13,1.0,0.9999999519813834,1.0000000500169215,46303774477
2025-01-14,1.0,0.9999999477501795,1.00000005369103,46303774477
2025-01-15,1.0,0.9999999427865682,1.0000000571979855,46303774477
2025-01-16,1.0,0.9999999377727902,1.0000000610446373,46303774477
2025-01-17,1.0,0.9999999341888586,1.0000000652211503,46303774477
2025-01-18,1.0,0.9999999289700203,1.0000000684835568,46303774477
2025-01-19,1.0,0.9999999246634234,1.0000000728329903,46303774477
2025-01-20,1.0,0.9999999220924427,1.000000077866455,46303774477
2025-03-04,1.9999996656589085,1.9999996656575516,1.99999966566031,46303862950
2025-03-05,1.9999996656589087,1.9999996656573595,1.9999996656603747,46303862950
2025-03-06,1.9999996656589092,1.999999665657125,1.9999996656604904,46303862950
2025-03-07,1.9999996656589094,1.9999996656570722,1.9999996656607477,46303862950
2025-03-08,1.9999996656589096,1.9999996656570822,1.9999996656608239,46303862950
2025-03-09,1.99999966565891,1.999999665656473,1.9999996656610737,46303862950
2025-03-10,1.9999996656589103,1.9999980671306414,1.999999665661537,46303862950
2025-03-11,1.9999996656589105,1.999944989838273,2.000036079516928,46303862950
2025-03-12,1.9999996656589107,1.999908877713685,2.0000719477271574,46303862950
2025-03-13,1.9999996656589112,1.9998501774359438,2.0001201357695395,46303862950
2025-03-14,1.9999996656589114,1.9997890449090487,2.00016770193406,46303862950
2025-03-15,1.9999996656589116,1.9997207475191023,2.0002332658420245,46303862950
2025-03-16,1.9999996656589119,1.9996257397763302,2.0003133711500904,46303862950
2025-03-17,1.9999996656589123,1.999545216423113,2.0004212582687546,46303862950
2025-03-18,1.9999996656589125,1.9994527890994438,2.000502770892769,46303862950
2025-03-19,1.9999996656589127,1.999374598673291,2.000599485369682,46303862950
2025-03-20,1.9999996656589132,1.999255541537154,2.0007358243769566,46303862950
2025-03-21,1.9999996656589134,1.9990992474145106,2.0008288094654394,46303862950
2025-03-22,1.9999996656589136,1.998942890499216,2.0009495991978956,46303862950
2025-03-23,1.9999996656589138,1.9987880548762786,2.001069369253663,46303862950
2025-03-24,1.9999996656589143,1.998637035019168,2.0011726720455774,46303862950
2025-03-25,1.9999996656589145,1.9984506231359502,2.0013242831253044,46303862950
2025-03-26,1.9999996656589147,1.998324059913536,2.0014304765127937,46303862950
2025-03-27,1.999999665658915,1.9981961971444064,2.0016292512567713,46303862950
2025-03-28,1.9999996656589154,1.9980543597687086,2.0018119329679203,46303862950
2025-03-29,1.9999996656589156,1.9978825379339498,2.0019946264316695,46303862950
2025-03-30,1.9999996656589158,1.9977241842858922,2.0021725161952784,46303862950
2025-03-31,1.9999996656589163,1.9976027473981361,2.0023828212663237,46303862950
2025-03-04,5.434594712288742,1.1807418744080012,9.446642464067864,46303877432
2025-03-05,4.865590756422698,1.0620029541250686,8.974600019458249,46303877432
2025-03-06,4.296586800556639,-0.042167333409622046,8.260771083591468,46303877432
2025-03-07,3.7275828446905948,-0.13461073116320588,8.114379642803337,46303877432
2025-03-08,3.1585788888245503,-1.2378947212230584,7.193540380755833,46303877432
2025-03-09,2.589574932958506,-1.8521438234797158,6.501650193275896,46303877432
2025-03-10,2.0205709770924614,-2.4818653175941243,6.238698392071837,46303877432
2025-03-11,1.451567021226417,-2.522163516872077,5.4001415097107035,46303877432
2025-03-12,0.8825630653603653,-3.6240672789309007,5.1008780560662625,46303877432
2025-03-13,0.31355910949432086,-3.7987508537559713,4.359344483732601,46303877432
2025-03-14,-0.2554448463717236,-4.423838077167699,3.9693782764488668,46303877432
2025-03-15,-0.8244488022377681,-4.921369600247267,3.2940809942138767,46303877432
2025-03-16,-1.3934527581038125,-5.556927914021943,2.4821602626353916,46303877432
2025-03-17,-1.962456713969857,-6.013334823804797,2.0924398379541347,46303877432
2025-03-18,-2.5314606698359157,-6.296985560022936,1.697137159195073,46303877432
2025-03-19,-3.10046462570196,-7.384246508497159,0.6659189623582719,46303877432
2025-03-20,-3.6694685815680046,-7.865664477506853,0.5848846676975001,46303877432
2025-03-21,-4.238472537434049,-8.396576662389204,-0.41588277831863496,46303877432
2025-03-22,-4.8074764933000935,-8.864614662312382,-0.7412536682353662,46303877432
